mineralName,discoveryYear
Schorl,1505
Turquoise,1678
Topaz,1737
Piemontite,1758
Prehnite,1788
Chrysoberyl,1789
Mellite,1789
Leucite,1791
Euclase,1792
Staurolite,1792
Vesuvianite,1795
Lazulite,1795
Cryolite,1799
Petalite,1800
Spodumene,1800
Harmotome,1801
Meionite,1801
Epidote,1801
Nepheline,1801
Diaspore,1801
Pyrope,1803
Natrolite,1803
Zoisite,1805
Laumontite,1805
Wavellite,1805
Sarcolite,1807
Aluminite,1807
Nacrite,1807
Gahnite,1807
Sanidine,1808
Ottrélite,1809
Sapphirine,1809
Sodalite,1811
Scolecite,1813
Cordierite,1813
Pargasite,1814
Omphacite,1815
Gehlenite,1815
Albite,1815
Mesolite,1816
Allophane,1816
Amblygonite,1817
Carpholite,1817
Plumbogummite,1819
Thomsonite-Ca,1820
Margarite,1820
Chamosite,1820
Gibbsite,1822
Anorthite,1823
Childrenite,1823
Orthoclase,1823
Vermiculite,1824
Alunite,1824
Fluellite,1824
Sillimanite,1824
Davyne,1825
Cacoxenite,1825
Epistilbite,1826
Halloysite,1826
Stilpnomelane,1827
Nontronite,1827
Clintonite,1828
Scarbroite,1829
Microcline,1830
Volkonskoite,1831
Spessartine,1832
Rhodizite,1834
Gedrite,1836
Variscite,1837
Warwickite,1838
Edenite,1839
Cancrinite,1839
Cyanotrichite,1839
Halotrichite,1839
Saponite,1840
Chalcophyllite,1841
Voltaite,1841
Coquimbite,1841
Phlogopite,1841
Hydrotalcite,1842
Pickeringite,1844
Glaucophane,1845
Pollucite,1846
Chiolite,1846
Montmorillonite,1847
Hercynite,1847
Apjohnite,1847
Gyrolite,1851
Ephesite,1851
Clinochlore,1851
Svanbergite,1851
Meliphanite,1852
Prosopite,1853
Tschermigite,1853
Palygorskite,1862
Planerite,1862
Pachnolite,1863
Jadeite,1863
Mordenite,1864
Evansite,1864
Taranakite,1865
Marialite,1866
Woodwardite,1866
Cookeite,1866
Attakolite,1868
Gearksutite,1868
Annite,1868
Mendozite,1868
Kalinite,1868
Augelite,1868
Trolleite,1868
Berlinite,1868
Durangite,1869
Milarite,1870
Valleriite,1870
Lithiophorite,1870
Montebrasite,1870
Hydrokenoralstonite,1871
Ardennite-(As),1872
Microsommite,1872
Chloraluminite,1873
Ettringite,1874
Dawsonite,1874
Sauconite,1875
Aerinite,1876
Roscoelite,1876
Liskeardite,1878
Dickinsonite-(KMnNa),1878
Dietrichite,1878
Eosphorite,1878
Davreuxite,1878
Dumortierite,1879
Siderophyllite,1880
Eucryptite,1880
Zincaluminite,1881
Hydrobiotite,1882
Jeremejevite,1883
Dravite,1883
Hematolite,1884
Kaersutite,1884
Polylithionite,1884
Kornerupine,1884
Goyazite,1884
Prismatine,1886
Kaliophilite,1886
Redingtonite,1888
Tamarugite,1889
Offretite,1890
Ganophyllite,1890
Lazurite,1890
Spangolite,1890
Griphite,1891
Morinite,1891
Rectorite,1891
Aegirine-augite,1892
Dundasite,1893
Celsian,1895
Hastingsite,1896
Gonnardite,1896
Clinozoisite,1896
Wardite,1896
Naujakasite,1897
Hancockite,1899
Bavenite,1901
Serendibite,1902
Koenenite,1902
Grandidierite,1902
Natroalunite,1902
Cryolithionite,1904
Paracelsian,1905
Gorceixite,1906
Winchite,1906
Reyerite,1906
Rhönite,1907
Bityite,1908
Axinite-(Mn),1909
Stellerite,1909
Vashegyite,1909
Hinsdalite,1911
Manandonite,1912
Holmquistite,1913
Elbaite,1913
Millosevichite,1913
Cebollite,1914
Lacroixite,1914
Ussingite,1914
Leifite,1915
Uranospathite,1915
Creedite,1916
Crandallite,1917
Katoptrite,1917
Bolivarite,1921
