mineralName,discoveryYear
Petalite,1800
Spodumene,1800
Amblygonite,1817
Triphylite,1834
Ephesite,1851
Cookeite,1866
Lithiophorite,1870
Montebrasite,1870
Lithiophilite,1878
Eucryptite,1880
Polylithionite,1884
Griphite,1891
Neptunite,1893
Cryolithionite,1904
Bityite,1908
Manandonite,1912
Holmquistite,1913
Elbaite,1913
Gainesite,1941
Hectorite,1941
Palermoite,1952
Tavorite,1955
Bikitaite,1957
Lithiophosphate,1957
Hsianghualite,1958
Liberite,1964
Bertossaite,1965
Sogdianite,1968
Nambulite,1972
Swinefordite,1973
Brannockite,1973
Balipholite,1975
Baratovite,1975
Darapiosite,1975
Nanlingite,1976
Zektzerite,1976
Ferro-holmquistite,1978
Emeleusite,1978
Tancoite,1979
Olympite,1979
Colquiriite,1980
Tiptopite,1983
Lithiotantite,1983
Natronambulite,1985
Zabuyelite,1985
Pahasapaite,1987
Griceite,1989
Simferite,1989
Norrishite,1989
Lintisite,1989
Lunijianlaite,1990
Lithiomarsturite,1990
Nalipoite,1990
Silinaite,1990
Lithiowodginite,1990
Simmonsite,1992
Ferri-leakeite,1992
Potassic-mangani-leakeite,1993
Saliotite,1994
Mccrillisite,1994
Watatsumiite,2000
Pezzottaite,2002
Jadarite,2006
