mineralName,discoveryYear
Schorl,1505
Borax,1546
Natron,1747
Trona,1773
Cryolite,1799
Meionite,1801
Nepheline,1801
Natrolite,1803
Sarcolite,1807
Glauberite,1808
Sodalite,1811
Aphthitalite,1813
Pargasite,1814
Omphacite,1815
Albite,1815
Mesolite,1816
Eudialyte,1819
Thomsonite-Ca,1820
Aegirine,1821
Nitratine,1821
Arfvedsonite,1823
Leucophanite,1824
Davyne,1825
Gaylussite,1826
Thénardite,1826
Stilpnomelane,1827
Nontronite,1827
Pectolite,1828
Lavendulan,1837
Edenite,1839
Cancrinite,1839
Berzeliite,1840
Wöhlerite,1843
Astrophyllite,1844
Glaucophane,1845
Thermonatrite,1845
Mirabilite,1845
Pollucite,1846
Chiolite,1846
Montmorillonite,1847
Hydrohalite,1847
Alluaudite,1848
Ulexite,1850
Stercorite,1850
Catapleiite,1850
Gyrolite,1851
Ephesite,1851
Meliphanite,1852
Lecontite,1858
Pachnolite,1863
Jadeite,1863
Mordenite,1864
Richterite,1865
Aenigmatite,1865
Marialite,1866
Mendozite,1868
Durangite,1869
Hydrokenoralstonite,1871
Microsommite,1872
Stevensite,1873
Dawsonite,1874
Caryinite,1874
Sauconite,1875
Låvenite,1875
Aerinite,1876
Dickinsonite-(KMnNa),1878
Sideronatrite,1878
Tincalconite,1878
Fillowite,1879
Litidionite,1880
Dravite,1883
Hanksite,1883
Metavoltine,1883
Kaersutite,1884
Rinkite-(Ce),1884
Caracolite,1886
Eudidymite,1887
Rosenbuschite,1887
Arseniopleite,1888
Beryllonite,1888
Riebeckite,1888
Tamarugite,1889
Hiortdahlite,1889
Ferrinatrite,1889
Ganophyllite,1890
Lazurite,1890
Natrophilite,1890
Griphite,1891
Morinite,1891
Rectorite,1891
Darapskite,1891
Aegirine-augite,1892
Epididymite,1893
Hainite-(Y),1893
Neptunite,1893
Lamprophyllite,1894
Elpidite,1894
Northupite,1895
Hastingsite,1896
Gonnardite,1896
Wardite,1896
Pirssonite,1896
Naujakasite,1897
Kosmochlor,1897
Epistolite,1897
Lorenzenite,1897
Leucosphenite,1900
Narsarsukite,1900
Koenenite,1902
Natroalunite,1902
Natrojarosite,1902
Vanthoffite,1902
Cryolithionite,1904
Tychite,1905
Metathénardite,1905
Winchite,1906
Reyerite,1906
Rinneite,1908
Villiaumite,1908
Elbaite,1913
Lacroixite,1914
Ussingite,1914
Searlesite,1914
Leifite,1915
Burkeite,1921
Barroisite,1922
Yuksporite,1922
Parsettensite,1923
Murmanite,1923
Swedenborgite,1924
Ashcroftine-(Y),1924
Arrojadite-(KFe),1925
Beidellite,1925
Labuntsovite-Mn,1925
Malladrite,1926
Kernite,1927
Magnesio-hastingsite,1928
Nahcolite,1928
Probertite,1929
Fersmanite,1929
Mangani-pargasite,1930
Millisite,1930
Englishite,1930
Vishnevite,1931
Clarkeite,1931
Schairerite,1931
Serandite,1931
Tuhualite,1932
Jarlite,1933
Corvusite,1933
Amarillite,1933
Ferruccite,1933
Todorokite,1934
Julienite,1935
Ungemachite,1936
Varulite,1937
Weberite,1938
Chkalovite,1938
Teepleite,1938
Metasideronatrite,1938
Paralomonosovite,1938
Shortite,1939
Lovozerite,1939
Betpakdalite-NaNa,1940
Gainesite,1941
Hectorite,1941
Bradleyite,1941
Lomonosovite,1941
Eckermannite,1942
Sampleite,1942
Banalsite,1944
Vernadite,1944
Brazilianite,1945
Fersmite,1946
Andersonite,1948
Magnesio-riebeckite,1949
Palermoite,1952
Burbankite,1953
Stepanovite,1953
Cyrilovite,1953
Shcherbakovite,1954
Hagendorfite,1954
Götzenite,1954
Eitelite,1954
Reedmergnerite,1954
Galeite,1955
Chalconatronite,1955
Nenadkevichite,1955
Vinogradovite,1956
Gerstleyite,1956
Heidornite,1956
Birnessite,1956
Kupletskite,1956
Boltwoodite,1956
Jonesite,1957
Santafeite,1957
Ferro-glaucophane,1957
Trikalsilite,1957
Natrouranospinite,1957
Combeite,1957
Mountainite,1957
Ezcurrite,1957
Sborgite,1957
Metanatroautunite,1957
Ajoite,1958
Seidozerite,1958
Delhayelite,1959
Batisite,1959
Lobanovite,1959
Fenaksite,1959
Huemulite,1959
Lueshite,1959
Garronite-Ca,1960
Zhemchuzhnikovite,1960
Innelite,1960
Loughlinite,1960
Natroniobite,1960
Wegscheiderite,1960
Ferro-pargasite,1961
Carbocernaite,1961
Grantsite,1961
Freudenbergite,1961
Neighborite,1961
Biringuccite,1961
Nasinite,1961
Wenkite,1962
Stenonite,1962
Tugtupite,1962
Vanalite,1962
Sørensenite,1962
Keldyshite,1962
Tosudite,1963
Nyerereite,1963
Hydroglauberite,1963
Afghanite,1964
Potassic-ferro-ferri-taramite,1964
Howieite,1964
Niobophyllite,1964
Uklonskovite,1964
Bertossaite,1965
Barytolamprophyllite,1965
Tinaksite,1965
Fedorite,1965
Merrihueite,1965
Hilairite,1965
Fluor-buergerite,1966
Panethite,1966
Proshchenkoite-(Y),1966
Brianite,1966
Landauite,1966
Rivadavite,1966
Roedderite,1966
Ameghinite,1966
Tunisite,1967
Bannisterite,1967
Satimolite,1967
Tienshanite,1967
Krinovite,1967
Humberstonite,1967
Manjiroite,1967
Magadiite,1967
Kenyaite,1967
Weloganite,1967
Yagiite,1968
Tuperssuatsiaite,1968
Rankamaite,1969
Alflarsenite,1969
Lemoynite,1969
Mangano-ferri-eckermannite,1969
Carletonite,1971
Zircophyllite,1971
Grimselite,1971
Natrozippeite,1971
Chernykhite,1972
Wyllieite,1972
Tschernichite,1972
Ilmajokite-(Ce),1972
Zorite,1972
Natrophosphate,1972
Kanemite,1972
Calcjarlite,1973
Lovdarite,1973
Zirsinalite,1973
Donnayite-(Y),1973
Aristarainite,1973
Raite,1973
Vuonnemite,1973
Kogarkoite,1973
Strelkinite,1973
Umbozerite,1973
Gaidonnayite,1973
Barrerite,1974
Koashvite,1974
Buchwaldite,1974
Murataite-(Y),1974
Kazakovite,1974
Liottite,1975
Darapiosite,1975
Natrosilite,1975
Natisite,1975
Franzinite,1976
Burangaite,1976
Nanlingite,1976
Okanoganite-(Y),1976
Fluorapophyllite-(Na),1976
Vitusite-(Ce),1976
Zektzerite,1976
