mineralName,discoveryYear
Safflorite,1817
Nickeline,1832
Breithauptite,1840
Pentlandite,1843
Ullmannite,1843
Nickelskutterudite,1845
Gersdorffite,1845
Millerite,1845
Asbolane,1847
Schreibersite,1847
Siegenite,1850
Zaratite,1851
Morenosite,1851
Annabergite,1852
Rammelsbergite,1854
Xanthiosite,1858
Aerugite,1858
Bunsenite,1858
Taenite,1861
Melonite,1868
Polydymite,1876
Lawrencite,1877
Awaruite,1885
Redingtonite,1888
Hauchecornite,1892
Heazlewoodite,1896
Maucherite,1913
Villamanínite,1919
Trevorite,1921
Kolovratite,1922
Violarite,1924
Dienerite,1926
Ahlfeldite,1935
Parkerite,1936
Vaesite,1945
Retgersite,1948
Shandite,1950
Tyrrellite,1952
Kurumsakite,1954
Honessite,1956
Smythite,1956
Karpinskite,1956
Takovite,1957
Hellyerite,1958
Oregonite,1959
Orcelite,1959
Kitkaite,1961
Wilkmanite,1964
Kullerudite,1964
Sederholmite,1964
Aplowite,1965
Perryite,1965
Nickelhexahydrite,1965
Djerfisherite,1966
Reevesite,1966
Brindleyite,1967
Nickel,1967
Nimite,1968
Willemseite,1968
Godlevskite,1969
Pecoraite,1969
Nisbite,1970
Westerveldite,1971
Jamborite,1971
Glaukosphaerite,1971
Haxonite,1971
Hydrohonessite,1971
Haapalaite,1973
Liebenbergite,1973
Carrboydite,1974
Ruthenarsenite,1974
Bonaccordite,1974
Krutovite,1975
Abelsonite,1975
Majakite,1976
Nickelzippeite,1976
Argentopentlandite,1977
Fletcherite,1977
Otwayite,1977
Bismutohauchecornite,1978
Tellurohauchecornite,1978
Nullaginite,1978
Tu?ekite,1978
Hydrombobomkulite,1979
Mbobomkulite,1979
Thalfenisite,1979
Nickelbischofite,1979
Tetrataenite,1979
Nickelalumite,1980
Arsenohauchecornite,1980
Comblainite,1980
Theophrastite,1980
Vozhminite,1981
Roaldite,1981
Dwornikite,1981
Ferronickelplatinum,1983
Lapieite,1984
Nickelaustinite,1985
Kharaelakhite,1985
Kambaldaite,1985
Donharrisite,1987
Paraotwayite,1987
Keystoneite,1988
Szyma?skiite,1990
Arupite,1990
Jolliffeite,1991
Widgiemoolthalite,1992
Wupatkiite,1994
Owensite,1995
Allabogdanite,1997
Vav?ínite,1998
Nickelschneebergite,1999
Paganoite,1999
