mineralName,discoveryYear
Schorl,1505
Talc,1546
Topaz,1737
Piemontite,1758
Zircon,1783
Ilvaite,1784
Prehnite,1788
Tremolite,1789
Leucite,1791
Euclase,1792
Staurolite,1792
Augite,1792
Vesuvianite,1795
Titanite,1795
Dioptase,1797
Petalite,1800
Spodumene,1800
Andradite,1800
Diopside,1800
Harmotome,1801
Meionite,1801
Epidote,1801
Nepheline,1801
Anthophyllite,1801
Pyrope,1803
Natrolite,1803
Helvine,1804
Zoisite,1805
Laumontite,1805
Datolite,1805
Sarcolite,1807
Nacrite,1807
Sanidine,1808
Pyrosmalite-(Fe),1808
Ottrélite,1809
Sapphirine,1809
Sodalite,1811
Scolecite,1813
Cordierite,1813
Humite,1813
Pargasite,1814
Omphacite,1815
Gehlenite,1815
Albite,1815
Mesolite,1816
Allophane,1816
Carpholite,1817
Chondrodite,1817
Eudialyte,1819
Hedenbergite,1819
Rhodonite,1819
Thomsonite-Ca,1820
Margarite,1820
Chamosite,1820
Aegirine,1821
Cronstedtite,1821
Anorthite,1823
Orthoclase,1823
Arfvedsonite,1823
Tephroite,1823
Vermiculite,1824
Sillimanite,1824
Leucophanite,1824
Babingtonite,1824
Cummingtonite,1824
Forsterite,1824
Davyne,1825
Epistilbite,1826
Halloysite,1826
Stilpnomelane,1827
Nontronite,1827
Eulytine,1827
Braunite,1827
Clintonite,1828
Pectolite,1828
Okenite,1828
Hisingerite,1828
Thorite,1829
Microcline,1830
Willemite,1830
Volkonskoite,1831
Monticellite,1831
Spessartine,1832
Uvarovite,1832
Phenakite,1833
Gedrite,1836
Edenite,1839
Cancrinite,1839
Danburite,1839
Mosandrite-(Ce),1839
Chevkinite-(Ce),1839
Saponite,1840
Fayalite,1840
Antigorite,1840
Phlogopite,1841
Wiserite,1842
Wöhlerite,1843
Astrophyllite,1844
Glaucophane,1845
Pollucite,1846
Schorlomite,1846
Montmorillonite,1847
Celadonite,1847
Sepiolite,1847
Neotocite,1848
Catapleiite,1850
Gyrolite,1851
Ephesite,1851
Clinochlore,1851
Meliphanite,1852
Uranophane,1853
Hemimorphite,1853
Enstatite,1855
Homilite,1860
Palygorskite,1862
Jadeite,1863
Spadaite,1863
Mordenite,1864
Richterite,1865
Aenigmatite,1865
Marialite,1866
Cookeite,1866
Danalite,1866
Xonotlite,1866
Attakolite,1868
Annite,1868
Howlite,1868
Milarite,1870
Bismutoferrite,1871
Ardennite-(As),1872
Microsommite,1872
Stevensite,1873
Cryptohalite,1873
Sauconite,1875
Låvenite,1875
Aerinite,1876
Roscoelite,1876
Barylite,1876
Ganomalite,1876
Cuspidine,1876
Friedelite,1876
Clinohumite,1876
Melanophlogite,1876
Hyalotekite,1877
Davreuxite,1878
Thaumasite,1878
Dumortierite,1879
Siderophyllite,1880
Eucryptite,1880
Tobermorite,1880
Litidionite,1880
Melanotekite,1880
Kentrolite,1880
Hydrobiotite,1882
Hieratite,1882
Dravite,1883
Bertrandite,1883
Kaersutite,1884
Polylithionite,1884
Kornerupine,1884
Cappelenite-(Y),1884
Rinkite-(Ce),1884
Kainosite-(Y),1885
Prismatine,1886
Kaliophilite,1886
Harstigite,1886
Eudidymite,1887
Inesite,1887
Rosenbuschite,1887
Bementite,1887
Cristobalite,1887
Riebeckite,1888
Barysilite,1888
Hiortdahlite,1889
Caryopilite,1889
Offretite,1890
Ganophyllite,1890
Lazurite,1890
Trimerite,1890
Rectorite,1891
Aegirine-augite,1892
Epididymite,1893
Hainite-(Y),1893
Neptunite,1893
Lamprophyllite,1894
Elpidite,1894
