"mineralName","formula","discoveryYear"
"Alarsite","AlAsO<sub>4</sub>",""
"Allanite-(Ce)","(CaCe)(AlAlFe<sup>2+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)",""
"Allanite-(La)","(CaLa)(AlAlFe<sup>2+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)",""
"Ferro-taramite","Na(CaNa)(Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>)(Al<sub>2</sub>Si<sub>6</sub>O<sub>22</sub>)(OH)<sub>2</sub>",""
"Aldermanite","[Mg(H<sub>2</sub>O)<sub>6</sub>][Na(H<sub>2</sub>O)<sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,F)<sub>6</sub>]&middot;H<sub>2</sub>O ",""
"Amesite","Mg<sub>2</sub>Al(AlSiO<sub>5</sub>)(OH)<sub>4</sub>",""
"Analcime","Na(AlSi<sub>2</sub>O<sub>6</sub>)&middot;H<sub>2</sub>O",""
"Akdalaite","Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>",""
"Alunogen","Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>&middot;17H<sub>2</sub>O",""
"Andalusite","Al<sub>2</sub>(SiO<sub>4</sub>)O",""
"Acuminite","Sr[AlF<sub>4</sub>(OH)(H<sub>2</sub>O)]",""
"Schorl","NaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1505"
"Turquoise","CuAl<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>&middot;4H<sub>2</sub>O","1678"
"Topaz","Al<sub>2</sub>(SiO<sub>4</sub>)(F,OH)<sub>2</sub>","1737"
"Piemontite","(CaCa)(AlAlMn<sup>3+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)","1758"
"Prehnite","Ca<sub>2</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>(OH)<sub>2</sub>","1788"
"Chrysoberyl","BeAl<sub>2</sub>O<sub>4</sub>","1789"
"Mellite","Al<sub>2</sub>[C<sub>6</sub>(COO)<sub>6</sub>]&middot;16H<sub>2</sub>O","1789"
"Leucite","K(AlSi<sub>2</sub>O<sub>6</sub>)","1791"
"Euclase","BeAl(SiO<sub>4</sub>)(OH)","1792"
"Staurolite","Fe<sup>2+</sup><sub>2</sub>Al<sub>9</sub>Si<sub>4</sub>O<sub>23</sub>(OH)","1792"
"Vesuvianite","Ca<sub>19</sub>Fe<sup>3+</sup>Al<sub>4</sub>(Al<sub>6</sub>Mg<sub>2</sub>)(&#9723;<sub>4</sub>)&#9723;[Si<sub>2</sub>O<sub>7</sub>]<sub>4</sub>[(SiO<sub>4</sub>)<sub>10</sub>]O(OH)<sub>9</sub>","1795"
"Lazulite","MgAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","1795"
"Cryolite","Na<sub>2</sub>NaAlF<sub>6</sub>","1799"
"Petalite","LiAl(Si<sub>4</sub>O<sub>10</sub>)","1800"
