"mineralName","formula","discoveryYear"
"Petalite","LiAl(Si<sub>4</sub>O<sub>10</sub>)","1800"
"Spodumene","LiAlSi<sub>2</sub>O<sub>6</sub>","1800"
"Amblygonite","LiAl(PO<sub>4</sub>)F","1817"
"Triphylite","LiFe<sup>2+</sup>PO<sub>4</sub>","1834"
"Ephesite","NaLiAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1851"
"Cookeite","(LiAl<sub>4</sub>&#9723;)[AlSi<sub>3</sub>O<sub>10</sub>](OH)<sub>8</sub>","1866"
"Lithiophorite","(Al,Li)MnO<sub>2</sub>(OH)<sub>2</sub>","1870"
"Montebrasite","LiAl(PO<sub>4</sub>)(OH)","1870"
"Lithiophilite","LiMn<sup>2+</sup>PO<sub>4</sub>","1878"
"Eucryptite","LiAlSiO<sub>4</sub>","1880"
"Polylithionite","KLi<sub>2</sub>Al(Si<sub>4</sub>O<sub>10</sub>)(F,OH)<sub>2</sub>","1884"
"Griphite","Na<sub>4</sub>Li<sub>2</sub>Ca<sub>6</sub>(Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)<sub>19</sub>Al<sub>8</sub>(PO<sub>4</sub>)<sub>24</sub>(F,OH)<sub>8</sub>","1891"
"Neptunite","Na<sub>2</sub>KLiFe<sup>2+</sup><sub>2</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>","1893"
"Cryolithionite","Na<sub>3</sub>Al<sub>2</sub>(LiF<sub>4</sub>)<sub>3</sub>","1904"
"Bityite","CaLiAl<sub>2</sub>(AlBeSi<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1908"
"Manandonite","Li<sub>2</sub>Al<sub>4</sub>(Si<sub>2</sub>AlB)O<sub>10</sub>(OH)<sub>8</sub>","1912"
"Holmquistite","&#9723;{Li<sub>2</sub>}{Mg<sub>3</sub>Al<sub>2</sub>}(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1913"
"Elbaite","Na(Li<sub>1.5</sub>Al<sub>1.5</sub>)Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1913"
"Gainesite","Na(Na,K)(Be,Li)Zr<sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>&middot;1.5-2H<sub>2</sub>O","1941"
