"mineralName","formula","discoveryYear"
"Ferro-taramite","Na(CaNa)(Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>)(Al<sub>2</sub>Si<sub>6</sub>O<sub>22</sub>)(OH)<sub>2</sub>",""
"Aldermanite","[Mg(H<sub>2</sub>O)<sub>6</sub>][Na(H<sub>2</sub>O)<sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,F)<sub>6</sub>]&middot;H<sub>2</sub>O ",""
"Analcime","Na(AlSi<sub>2</sub>O<sub>6</sub>)&middot;H<sub>2</sub>O",""
"Agrellite","NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F",""
"Abenakiite-(Ce)","Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O",""
"Schorl","NaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1505"
"Borax","Na<sub>2</sub>(B<sub>4</sub>O<sub>5</sub>)(OH)<sub>4</sub>&middot;8H<sub>2</sub>O","1546"
"Natron","Na<sub>2</sub>CO<sub>3</sub>&middot;10H<sub>2</sub>O","1747"
"Trona","Na<sub>3</sub>H(CO<sub>3</sub>)<sub>2</sub>&middot;2H<sub>2</sub>O","1773"
"Cryolite","Na<sub>2</sub>NaAlF<sub>6</sub>","1799"
"Meionite","Ca<sub>4</sub>Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>CO<sub>3</sub>","1801"
"Nepheline","Na<sub>3</sub>K(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>)","1801"
"Natrolite","Na<sub>2</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>&middot;2H<sub>2</sub>O","1803"
"Sarcolite","Na<sub>4</sub>Ca<sub>12</sub>Al<sub>8</sub>Si<sub>12</sub>O<sub>46</sub>(SiO<sub>4</sub>,PO<sub>4</sub>)(OH,H<sub>2</sub>O)<sub>4</sub>(CO<sub>3</sub>,Cl)","1807"
"Glauberite","Na<sub>2</sub>Ca(SO<sub>4</sub>)<sub>2</sub>","1808"
"Sodalite","Na<sub>4</sub>(Si<sub>3</sub>Al<sub>3</sub>)O<sub>12</sub>Cl","1811"
"Aphthitalite","(K,Na)<sub>3</sub>Na(SO<sub>4</sub>)<sub>2</sub>","1813"
"Pargasite","NaCa<sub>2</sub>(Mg<sub>4</sub>Al)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","1814"
"Omphacite","(Na<sub>a</sub>Ca<sub>b</sub>Fe<sup>2+</sup><sub>c</sub>Mg<sub>d</sub>)(Al<sub>e</sub>Fe<sup>3+</sup><sub>f</sub>Fe<sup>2+</sup><sub>g</sub>Mg<sub>h</sub>)Si<sub>2</sub>O<sub>6</sub>","1815"
"Albite","Na(AlSi<sub>3</sub>O<sub>8</sub>)","1815"
"Mesolite","Na<sub>2</sub>Ca<sub>2</sub>Si<sub>9</sub>Al<sub>6</sub>O<sub>30</sub>&middot;8H<sub>2</sub>O","1816"
"Eudialyte","Na<sub>15</sub>Ca<sub>6</sub>Fe<sub>3</sub>Zr<sub>3</sub>Si(Si<sub>25</sub>O<sub>73</sub>)(O,OH,H<sub>2</sub>O)<sub>3</sub>(Cl,OH)<sub>2</sub>","1819"
"Thomsonite-Ca","NaCa<sub>2</sub>[Al<sub>5</sub>Si<sub>5</sub>O<sub>20</sub>]&middot;6H<sub>2</sub>O","1820"
"Aegirine","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","1821"
"Nitratine","NaNO<sub>3</sub>","1821"
"Arfvedsonite","[Na][Na<sub>2</sub>][Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1823"
"Leucophanite","NaCaBeSi<sub>2</sub>O<sub>6</sub>F","1824"
"Davyne","(Na,K)<sub>6</sub>Ca<sub>2</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(Cl<sub>2</sub>,SO<sub>4</sub>)<sub>2</sub>","1825"
"Gaylussite","Na<sub>2</sub>Ca(CO<sub>3</sub>)<sub>2</sub>&middot;5H<sub>2</sub>O","1826"
"Thénardite","Na<sub>2</sub>SO<sub>4</sub>","1826"
"Stilpnomelane","(K,Ca,Na)(Fe,Mg,Al)<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>36</sub>&middot;nH<sub>2</sub>O","1827"
"Nontronite","Na<sub>0.3</sub>Fe<sub>2</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1827"
"Pectolite","NaCa<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)","1828"
"Lavendulan","NaCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>Cl&middot;5H<sub>2</sub>O","1837"
"Edenite","NaCa<sub>2</sub>Mg<sub>5</sub>(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>","1839"
"Cancrinite","(Na,Ca,&#9723;)<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(CO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>&middot;2H<sub>2</sub>O","1839"
"Berzeliite","(NaCa<sub>2</sub>)Mg<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","1840"
"Wöhlerite","Na<sub>2</sub>Ca<sub>4</sub>ZrNb(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>3</sub>F","1843"
"Astrophyllite","K<sub>2</sub>NaFe<sup>2+</sup><sub>7</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>(OH)<sub>4</sub>F","1844"
"Glaucophane","&#9723;[Na<sub>2</sub>][Mg<sub>3</sub>Al<sub>2</sub>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1845"
"Thermonatrite","Na<sub>2</sub>CO<sub>3</sub>&middot;H<sub>2</sub>O","1845"
"Mirabilite","Na<sub>2</sub>SO<sub>4</sub>&middot;10H<sub>2</sub>O","1845"
"Pollucite","(Cs,Na)<sub>2</sub>(Al<sub>2</sub>Si<sub>4</sub>O<sub>12</sub>)&middot;2H<sub>2</sub>O","1846"
"Chiolite","Na<sub>5</sub>Al<sub>3</sub>F<sub>14</sub>","1846"
"Montmorillonite","(Na,Ca)<sub>0.33</sub>(Al,Mg)<sub>2</sub>(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1847"
"Hydrohalite","NaCl&middot;2H<sub>2</sub>O","1847"
"Alluaudite","(Na,Ca)Mn<sup>2+</sup>(Fe<sup>3+</sup>,Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>","1848"
"Ulexite","NaCa[B<sub>5</sub>O<sub>6</sub>(OH)<sub>6</sub>]&middot;5H<sub>2</sub>O","1850"
"Stercorite","(NH<sub>4</sub>)Na(PO<sub>3</sub>OH)&middot;4H<sub>2</sub>O","1850"
