"mineralName","formula","discoveryYear"
"Akaganeite","(Fe<sup>3+</sup>,Ni<sup>2+</sup>)<sub>8</sub>(OH,O)<sub>16</sub>Cl<sub>1.25</sub>&middot;nH<sub>2</sub>O",""
"Safflorite","(Co,Ni,Fe)As<sub>2</sub>","1817"
"Nickeline","NiAs","1832"
"Breithauptite","NiSb","1840"
"Pentlandite","(Ni<sub>x</sub>Fe<sub>y</sub>)<sub>Σ9</sub>S<sub>8</sub>","1843"
"Ullmannite","NiSbS","1843"
"Nickelskutterudite","(Ni,Co,Fe)As<sub>3</sub>","1845"
"Gersdorffite","NiAsS","1845"
"Millerite","NiS","1845"
"Asbolane","(Ni,Co)<sub>2-x</sub>Mn<sup>4+</sup>(O,OH)<sub>4</sub>&middot;nH<sub>2</sub>O","1847"
"Schreibersite","(Fe,Ni)<sub>3</sub>P","1847"
"Siegenite","CoNi<sub>2</sub>S<sub>4</sub>","1850"
"Zaratite","Ni<sub>3</sub>(CO<sub>3</sub>)(OH)<sub>4</sub>&middot;4H<sub>2</sub>O ?","1851"
"Morenosite","NiSO<sub>4</sub>&middot;7H<sub>2</sub>O","1851"
"Annabergite","Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>&middot;8H<sub>2</sub>O","1852"
"Rammelsbergite","NiAs<sub>2</sub>","1854"
"Xanthiosite","Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>","1858"
"Aerugite","Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>","1858"
"Bunsenite","NiO","1858"
"Taenite","(Fe,Ni)","1861"
"Melonite","NiTe<sub>2</sub>","1868"
"Polydymite","Ni<sup>2+</sup>Ni<sup>3+</sup><sub>2</sub>S<sub>4</sub>","1876"
"Lawrencite","(Fe<sup>2+</sup>,Ni)Cl<sub>2</sub>","1877"
"Awaruite","Ni<sub>3</sub>Fe","1885"
"Redingtonite","(Fe<sup>2+</sup>,Mg,Ni)(Cr,Al)<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>&middot;22H<sub>2</sub>O","1888"
"Hauchecornite","Ni<sub>9</sub>BiSbS<sub>8</sub>","1892"
"Heazlewoodite","Ni<sub>3</sub>S<sub>2</sub>","1896"
"Maucherite","Ni<sub>11</sub>As<sub>8</sub>","1913"
"Villamanínite","(Cu,Ni,Co,Fe)S<sub>2</sub>","1919"
