"mineralName","formula","discoveryYear"
"Allanite-(Ce)","(CaCe)(AlAlFe<sup>2+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)",""
"Allanite-(La)","(CaLa)(AlAlFe<sup>2+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)",""
"Ferro-taramite","Na(CaNa)(Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>)(Al<sub>2</sub>Si<sub>6</sub>O<sub>22</sub>)(OH)<sub>2</sub>",""
"Amesite","Mg<sub>2</sub>Al(AlSiO<sub>5</sub>)(OH)<sub>4</sub>",""
"Analcime","Na(AlSi<sub>2</sub>O<sub>6</sub>)&middot;H<sub>2</sub>O",""
"Andalusite","Al<sub>2</sub>(SiO<sub>4</sub>)O",""
"Actinolite","&#9723;Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>",""
"Åkermanite","Ca<sub>2</sub>Mg[Si<sub>2</sub>O<sub>7</sub>]",""
"Agrellite","NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F",""
"Abenakiite-(Ce)","Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O",""
"Schorl","NaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1505"
"Talc","Mg<sub>3</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>","1546"
"Topaz","Al<sub>2</sub>(SiO<sub>4</sub>)(F,OH)<sub>2</sub>","1737"
"Piemontite","(CaCa)(AlAlMn<sup>3+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)","1758"
"Zircon","Zr(SiO<sub>4</sub>)","1783"
"Ilvaite","CaFe<sup>3+</sup>Fe<sup>2+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)O(OH)","1784"
"Prehnite","Ca<sub>2</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>(OH)<sub>2</sub>","1788"
"Tremolite","&#9723;Ca<sub>2</sub>Mg<sub>5</sub>(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1789"
"Leucite","K(AlSi<sub>2</sub>O<sub>6</sub>)","1791"
"Euclase","BeAl(SiO<sub>4</sub>)(OH)","1792"
"Staurolite","Fe<sup>2+</sup><sub>2</sub>Al<sub>9</sub>Si<sub>4</sub>O<sub>23</sub>(OH)","1792"
"Augite","(Ca<sub>x</sub>Mg<sub>y</sub>Fe<sub>z</sub>)(Mg<sub>y1</sub>Fe<sub>z1</sub>)Si<sub>2</sub>O<sub>6</sub>","1792"
"Vesuvianite","Ca<sub>19</sub>Fe<sup>3+</sup>Al<sub>4</sub>(Al<sub>6</sub>Mg<sub>2</sub>)(&#9723;<sub>4</sub>)&#9723;[Si<sub>2</sub>O<sub>7</sub>]<sub>4</sub>[(SiO<sub>4</sub>)<sub>10</sub>]O(OH)<sub>9</sub>","1795"
"Titanite","CaTi(SiO<sub>4</sub>)O","1795"
"Dioptase","CuSiO<sub>3</sub>&middot;H<sub>2</sub>O","1797"
"Petalite","LiAl(Si<sub>4</sub>O<sub>10</sub>)","1800"
"Spodumene","LiAlSi<sub>2</sub>O<sub>6</sub>","1800"
"Andradite","Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","1800"
"Diopside","CaMgSi<sub>2</sub>O<sub>6</sub>","1800"
"Harmotome","Ba<sub>2</sub>(Si<sub>12</sub>Al<sub>4</sub>)O<sub>32</sub>&middot;12H<sub>2</sub>O","1801"
"Meionite","Ca<sub>4</sub>Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>CO<sub>3</sub>","1801"
"Epidote","(CaCa)(AlAlFe<sup>3+</sup>)O[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>](OH)","1801"
